##
## This file should use UTF-8 encoding
##
## User dictionary format:
## <text>,<text>,<reading>,<part-of-speech>
## or
## <text>,<token1> <token2> ... <tokenn>,<reading1> <reading2> ... <readingn>,<part-of-speech>
##

# Nostr,Nostr,ノストラ,カスタム名詞
# X JAPAN,X JAPAN,エックス ジャパン,カスタム名詞
𝑫𝒐 𝑵𝒐𝒔𝒕𝒓,𝑫𝒐 𝑵𝒐𝒔𝒕𝒓,ドゥ ノストラ,カスタム名詞
Do Nostr,Do Nostr,ドゥ ノストラ,カスタム名詞
bsky.social,bsky social,ビースカイ ソーシャル,カスタム名詞
bsky.app,bsky app,ビースカイ アップ,カスタム名詞
しお画像,しお 画像,シオ ガゾウ,カスタム名詞
ロクヨウ画像,ロクヨウ 画像,ロクヨウ ガゾウ,カスタム名詞
技術書典,技術書典,ギジュツショテン,カスタム名詞
四谷ラボ,四谷ラボ,ヨツヤラボ,カスタム名詞
ノストリッチ,ノストリッチ,ノストリッチ,カスタム名詞
つるるん,つるるん,ツルルン,カスタム名詞
ぽーまん,ぽーまん,ポーマン,カスタム名詞
かすてらふぃ,かすてらふぃ,カステラフィ,カスタム名詞
きりの,きりの,キリノ,カスタム名詞
オハノス,オハノス,オハノス,カスタム名詞
おはノス,おはノス,オハノス,カスタム名詞
おはのす,おはのす,オハノス,カスタム名詞
ぼざろ,ぼざろ,ボザロ,カスタム名詞
ぼっちざろっく,ぼっちざろっく,ボッチザロック,カスタム名詞
ぼっちちゃん,ぼっちちゃん,ボッチチャン,カスタム名詞
